Title,Authors,Price,Stars,Number of Reviews,Country
"Learn Amazon SageMaker - Second Edition: A guide to building, training, and deploying machine learning models for developers and data scientists  ",[],409.0,5,381,Brazil
Hands-On Automated Machine Learning  ,[],369.0,3,357,Brazil
Machine Learning: New and Collected Stories (English Edition)  ,[],68.0,2,158,Brazil
Practical Machine Learning in R  ,[],232.0,3,9,Brazil
The Art of Machine Learning: A Hands-On Guide to Machine Learning with R (English Edition)  ,[],206.0,5,479,Brazil
Machine Learning for Hackers: Case Studies and Algorithms to Get You Started  ,[],60.0,5,307,Brazil
Before Machine Learning Volume 1 - Linear Algebra for A.I: The fundamental mathematics for Data Science and Artificial Inteligence. (English Edition)  ,[],24.0,5,479,Brazil
Machine Learning in Microservices: Productionizing microservices architecture for machine learning solutions  ,[],401.0,3,266,Brazil
"Machine Learning: 2 Manuscripts in 1 Book - Neural Networks Understand How Neural Networks Work, Deep Learning A Sensible Guide Presenting the Concepts (Machine Learning Series 3) (English Edition)  ",[],0.0,1,117,Brazil
Introducing Mlops: How to Scale Machine Learning in the Enterprise  ,[],188.0,5,136,Brazil
Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python  ,[],242.0,3,220,Brazil
"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition (English Edition)  ",[],199.0,2,274,Brazil
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage  ,[],516.0,5,249,Brazil
Machine Learning for Dummies  ,[],187.0,5,111,Brazil
MACHINE LEARNING: 2 Manuscripts in 1 Book: Machine Learning For Beginners & Machine Learning With Python (English Edition)  ,[],0.0,1,73,Brazil
Transformers for Machine Learning: A Deep Dive  ,[],395.0,3,358,Brazil
Machine Learning for Kids (Tinker Toddlers): STEAM Book to Kick-Start Your Future Genius! (English Edition)  ,[],0.0,3,136,Brazil
Neural Network: Dot Grid Notebook (6x9 inches) with 120 Pages - Data Science Neural Network Gift For Machine Learning  ,[],76.31274517848189,2,246,Brazil
Pattern Recognition and Machine Learning  ,[],497.0,2,258,Brazil
Age of Invisible Machines: A Practical Guide to Creating a Hyperautomated Ecosystem of Intelligent Digital Workers (English Edition)  ,[],110.0,4,395,Brazil
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics  ",[],272.0,1,102,Brazil
The Statistics and Machine Learning with R Workshop: Unlock the power of efficient data science modeling with this hands-on guide  ,[],46.46388842254717,2,50,Brazil
Python Lab1 Excel openpyxl: Visual Programming (English Edition)  ,[],0.0,4,219,Brazil
Gaussian Processes for Machine Learning  ,[],302.0,1,261,Brazil
Kubeflow for Machine Learning: From Lab to Production  ,[],164.0,1,494,Brazil
3D Recording and Interpretation for Maritime Archaeology (Coastal Research Library Book 31) (English Edition)  ,[],0.0,1,289,Brazil
"Machine Learning: 3 Books in 1 Machine Learning for Beginners,Artificial Intelligence and Machine Learning for business, Networking for beginners (English Edition)  ",[],0.0,3,470,Brazil
Berlitz Italian Phrase Book & CD (English and Italian Edition)  ,[],32.17560956558779,1,149,Brazil
Introduction to Statistical and Machine Learning Methods for Data Science  ,[],230.0,5,194,Brazil
AI for Fraud Detection: Safeguarding Your Business with Advanced Technology (English Edition)  ,[],0.0,5,204,Brazil
Machine Learning Pitfalls: A Brief Guide on How to Avoid Common Pitfalls (With Code Samples) (Arificial Intelligence Book 5) (English Edition)  ,[],24.0,4,323,Brazil
Calculus of a Single Variable  ,[],901.0,1,418,Brazil
DEEP LEARNING WITH KERAS AND MACHINE LEARNING MADE SIMPLE - 2 BOOKS IN 1: A BEGINNER’S GUIDE TO PROGRAMMING (English Edition)  ,[],0.0,3,345,Brazil
How to Start a Blog Today: A Free Step-by-Step Beginner’s Guide to Create a Blog in 20 minutes (English Edition)  ,[],1.0,1,83,Brazil
"Serverless Machine Learning with Amazon Redshift ML: Create, train, and deploy machine learning models using familiar SQL commands  ",[],30.560330784729672,1,280,Brazil
Machine Learning Engineering with Python: Manage the production life cycle of machine learning models using MLOps with practical examples  ,[],340.0,5,474,Brazil
"""Machine Learning: A Comprehensive Guide from Fundamentals to Advanced Techniques"" (English Edition)  ",[],0.0,1,387,Brazil
Machine Learning with Amazon SageMaker Cookbook: 80 proven recipes for data scientists and developers to perform machine learning experiments and deployments  ,[],463.0,3,204,Brazil
Machine Learning Book: Make Informed Strategic Decisions For Yourself And Your Company (English Edition)  ,[],24.0,1,15,Brazil
Machine Learning Pocket Reference: Working with Structured Data in Python  ,[],165.0,5,476,Brazil
Probabilistic Machine Learning for Civil Engineers  ,[],405.0,3,199,Brazil
"Python Machine Learning - Second Edition: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow  ",[],302.0,5,228,Brazil
Blueprints for Text Analytics Using Python: Machine Learning-Based Solutions for Common Real World (Nlp) Applications  ,[],374.0,3,252,Brazil
Automated Machine Learning in Action  ,[],562.0,1,132,Brazil
Machine Learning Book Python : The Perfect Handbook For Building A Top-Notch Code In Scratch And Using Python Data Science Programming To Elevate Your ... programming language) (English Edition)  ,[],0.0,5,94,Brazil
Machine Learning for High-Risk Applications: Approaches to Responsible AI  ,[],538.0,5,29,Brazil
Python for Machine Learning: A Practical Guide (English Edition)  ,[],0.0,4,56,Brazil
Machine Learning Engineering in Action  ,[],503.0,3,173,Brazil
Machine Learning and Its Application to Reacting Flows: ML and Combustion (Lecture Notes in Energy Book 44) (English Edition)  ,[],0.0,5,445,Brazil
How To Make Money Blogging: How I Replaced My Day-Job and How You Can Start A Blog Today (Blogging Guide Book 1) (English Edition)  ,[],2.0,1,398,Brazil
Machine Learning with Quantum Computers  ,[],677.0,4,384,Brazil
MACHINE LEARNING AND DEEP LEARNING WITH TENSORFLOW MADE SIMPLE - 2 BOOKS IN 1: A BEGINNER'S GUIDE TO PROGRAMMING (English Edition)  ,[],0.0,3,487,Brazil
Machine Learning for Physics and Astronomy  ,[],307.0,2,158,Brazil
Machine Learning with Python Cookbook: Practical Solutions from Preprocessing to Deep Learning  ,[],500.0,2,177,Brazil
Interpretable Machine Learning with Python: Learn to build interpretable high-performance models with hands-on real-world examples  ,[],348.0,2,119,Brazil
Microsoft Servers on AWS (AWS Quick Start) (English Edition)  ,[],0.0,4,263,Brazil
Programming Pytorch for Deep Learning: Creating and Deploying Deep Learning Applications  ,[],259.0,3,332,Brazil
"Efficient Learning Machines: Theories, Concepts, and Applications for Engineers and System Designers (English Edition)  ",[],82.1388482177266,5,115,Brazil
Deep Learning  ,[],114.0,5,36,Brazil
From Opinion Mining to Financial Argument Mining (SpringerBriefs in Computer Science) (English Edition)  ,[],0.0,4,113,Brazil
Big Data and Machine Learning in Quantitative Investment  ,[],292.0,3,318,Brazil
A Quick Guide to Card Games with Unity: Get Started with Card Games in less than 60 minutes (English Edition)  ,[],7.0,1,18,Brazil
MACHINE LEARNING TECHNIQUES (English Edition)  ,[],0.0,5,245,Brazil
"Foundations of Machine Learning, Second Edition  ",[],529.0,2,245,Brazil
"My Journey Machine Learning Notebook (Model1): Work Hard and Make it Happen: Customized 120 Page Lined 6"" x 9"", Notebook /Journal Gift, Soft Cover, Matte Finish  ",[],70.22244417876439,3,257,Brazil
Machine Learning in Molecular Sciences (Challenges and Advances in Computational Chemistry and Physics Book 36) (English Edition)  ,[],724.0,1,8,Brazil
Programming Machine Learning: From Coding to Deep Learning  ,[],176.0,5,209,Brazil
Machine Learning: Hands-On for Developers and Technical Professionals  ,[],30.96605867208038,2,121,Brazil
Machine Learning: This book includes: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide ... Using Python Libraries and Advanced Features  ,[],491.0,1,293,Brazil
Deep Learning with Python  ,[],316.0,5,335,Brazil
Machine Learning With Python: 3 Books in 1 - The Ultimate Beginners Guide & a Comprehensive Guide of Tips and Tricks & Advanced and Effective Strategies ... Learning with Python (English Edition)  ,[],0.0,4,91,Brazil
"Sustainable Development through Machine Learning, AI and IoT: First International Conference, ICSD 2023, Delhi, India, July 15–16, 2023, Revised Selected ... Science Book 1939) (English Edition)  ",[],326.0,1,230,Brazil
"Hands-On Machine Learning with C++: Build, train, and deploy end-to-end machine learning and deep learning pipelines  ",[],415.0,3,82,Brazil
Machine Learning with Qlik Sense: Utilize different machine learning models in practical use cases by leveraging Qlik Sense (English Edition)  ,[],178.0,1,385,Brazil
"Machine Learning: For Beginners: Definitive Guide for Neural Networks, Algorithms, Random Forests and Decision Trees Made Simple (Machine Learning, Book 1)  ",[],17.0,2,144,Brazil
Deep Learning: A Practitioner's Approach  ,[],272.0,5,452,Brazil
Machine Learning Book: The Basics Of Machine Learning And Artificial Intelligence (English Edition)  ,[],24.0,2,463,Brazil
"Python Foundation this book includes Python for beginners, Machine Learning, Python Data Science. Programming Languages + coding + Artificial Intelligence ... Numpy + Pandas : Python 3 (English Edition)  ",[],0.0,1,370,Brazil
Machine Learning and NLP: 3 in 1 Guide: Transforming Language and Data (English Edition)  ,[],0.0,2,130,Brazil
Machine Learning with R (English Edition)  ,[],271.0,2,323,Brazil
Machine Learning: 3 books in 1: - Hacking Tools for Computer + Hacking With Kali Linux + Python Programming- The ultimate beginners guide to improve your ... and data science (English Edition)  ,[],0.0,5,25,Brazil
Real-World Natural Language Processing: Practical Applications with Deep Learning  ,[],427.0,2,188,Brazil
"Machine Learning in the Oil and Gas Industry: Including Geosciences, Reservoir Engineering, and Production Engineering with Python  ",[],210.0,1,98,Brazil
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn and Tensorflow (Step-by-Step Tutorial For Beginners Book 1) (English Edition)  ",[],0.0,4,317,Brazil
Human-In-The-Loop Machine Learning: Active Learning and Annotation for Human-Centered AI  ,[],474.0,3,44,Brazil
Advanced R LiveLessons: Tools for Greater Productivity and Machine Learning  ,[],47.80183164513301,1,220,Brazil
"Applied Recommender Systems with Python: Build Recommender Systems with Deep Learning, Nlp and Graph-Based Techniques  ",[],89.0,3,499,Brazil
The Machine Learning Simplified: A Gentle Introduction to Supervised Learning (English Edition)  ,[],24.0,3,396,Brazil
"Deep Learning with Pytorch: Build, Train, and Tune Neural Networks Using Python Tools  ",[],364.0,4,15,Brazil
On the Farm with RONNO: Fun Farm Songs  ,[],58.67487811452857,2,429,Brazil
Learning Spark: Lightning-Fast Data Analytics  ,[],221.0,5,294,Brazil
Machine Learning for Factor Investing: R Version (Chapman and Hall/CRC Financial Mathematics Series) (English Edition)  ,[],464.0,3,116,Brazil
Unauthorized Access: The Crisis in Online Privacy and Security (English Edition)  ,[],0.0,3,233,Brazil
Machine Learning: 2 Books in 1: An Introduction Math Guide for Beginners to Understand Data Science Through the Business Applications (English Edition)  ,[],0.0,4,26,Brazil
"Automated Machine Learning: Methods, Systems, Challenges (The Springer Series on Challenges in Machine Learning) (English Edition)  ",[],0.0,4,236,Brazil
Quantum Machine Learning: An Applied Approach: The Theory and Application of Quantum Machine Learning in Science and Industry  ,[],307.0,5,120,Brazil
Machine Learning for Asset Managers  ,[],240.0,5,414,Brazil
Human-Machine Learning: Using Feedback to Design Systems that Serve Humanity (English Edition)  ,[],106.0,1,361,Brazil
Graph-Powered Machine Learning  ,[],438.0,3,197,Brazil
"Machine Learning with R - Fourth Edition: Learn techniques for building and improving machine learning models, from data preparation to model tuning, evaluation, and working with big data  ",[],78.99768376889101,1,339,Brazil
"The Artificial Intelligence Pathfinder: Discover The Era, Impacts And Future Of Artificial Intelligence With A Bonus Chapter On Four Best Ways Make Money Using Ai Tools (English Edition)  ",[],0.0,4,337,Brazil
The Shape of Data: Geometry-Based Machine Learning and Data Analysis in R  ,[],86.07517139535213,2,453,Brazil
"Machine Learning in Clinical Neuroimaging: 6th International Workshop, MLCN 2023, Held in Conjunction with MICCAI 2023, Vancouver, BC, Canada, October ... Science Book 14312) (English Edition)  ",[],218.0,5,209,Brazil
Machine Learning for Cyber Physical Systems: Selected papers from the International Conference ML4CPS 2018 (Technologien für die intelligente Automation Book 9) (English Edition)  ,[],0.0,1,473,Brazil
Linked Data: A Geographic Perspective (English Edition)  ,[],0.0,4,327,Brazil
Tinyml: Machine Learning with Tensorflow Lite on Arduino and Ultra-Low-Power Microcontrollers  ,[],161.0,2,117,Brazil
"Business Data Science: Combining Machine Learning and Economics to Optimize, Automate, and Accelerate Business Decisions  ",[],324.0,4,159,Brazil
Python Machine Learning: The Ultimate Beginner's Guide to Learn Python Machine Learning Step by Step using Scikit-Learn and Tensorflow (Computer Programming) (English Edition)  ,[],0.0,1,429,Brazil
Machine Learning in Finance: Use Machine Learning Techniques for Day Trading and Value Trading in the Stock Market (Financial Data Analytics Using Python Book 3) (English Edition)  ,[],0.0,3,208,Brazil
Dataset Shift in Machine Learning  ,[],344.0,1,196,Brazil
Machine Learning Demystified: Understanding Algorithms and Applications (AI Unplugged: Navigating the World of Artificial Intelligence) (English Edition)  ,[],0.0,5,72,Brazil
Graph Representation Learning  ,[],446.0,4,172,Brazil
How We Learn: Why Brains Learn Better Than Any Machine . . . for Now (English Edition)  ,[],22.0,5,389,Brazil
"Deep Learning with TensorFlow and Keras - Third Edition: Build and deploy supervised, unsupervised, deep, and reinforcement learning models  ",[],436.0,2,259,Brazil
The Machine Learning Solutions Architect Handbook: Create machine learning platforms to run solutions in an enterprise setting (English Edition)  ,[],285.0,4,87,Brazil
"Data-Driven Science and Engineering: Machine Learning, Dynamical Systems, and Control  ",[],467.0,5,60,Brazil
"Deep Learning with TensorFlow 2 and Keras - Second Edition: Regression, ConvNets, GANs, RNNs, NLP, and more with TensorFlow 2 and the Keras API  ",[],117.0,2,305,Brazil
Machine Learning for Decision Makers: Cognitive Computing Fundamentals for Better Decision Making (English Edition)  ,[],230.0,3,42,Brazil
"Deep Learning for the Life Sciences: Applying Deep Learning to Genomics, Microscopy, Drug Discovery, and More  ",[],331.0,2,200,Brazil
Machine Learning: Introduction to Supervised and Unsupervised Learning Algorithms with Real-World Applications (Advanced Data Analytics Book 1) (English Edition)  ,[],0.0,3,7,Brazil
Machine Learning: Introdução à classificação  ,[],49.0,3,384,Brazil
"Data Science on AWS: Implementing End-To-End, Continuous AI and Machine Learning Pipelines  ",[],366.0,2,158,Brazil
Aws Certified Machine Learning Study Guide: Specialty (Mls-C01) Exam  ,[],242.0,1,117,Brazil
Accelerated Optimization for Machine Learning: First-Order Algorithms (English Edition)  ,[],521.0,2,208,Brazil
Modern Computer Vision with PyTorch: Explore deep learning concepts and implement over 50 real-world image applications  ,[],467.0,3,251,Brazil
TensorFlow: 100 Interview Questions (Advanced Topics in Machine Learning Book 3) (English Edition)  ,[],24.0,2,397,Brazil
"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems  ",[],534.0,5,56,Brazil
"Machine Learning: How Artificial Intelligence Learns (Fun Picture Book for K-2, AI+ME Series, Big Idea 3) (English Edition)  ",[],24.0,4,344,Brazil
MACHINE LEARNING WITH PYTHON : A Comprehensive Beginners Guide to Learn the Realms of Machine Learning with Python (English Edition)  ,[],0.0,2,114,Brazil
"Prediction Machines, Updated and Expanded: The Simple Economics of Artificial Intelligence  ",[],129.0,5,377,Brazil
Machine Learning: Unraveling the Algorithms of Intelligence (English Edition)  ,[],0.0,2,167,Brazil
Foundations of Machine Learning  ,[],80.8536829057636,5,224,Brazil
"Machine Learning Guide for Oil and Gas Using Python: A Step-By-Step Breakdown with Data, Algorithms, Codes, and Applications  ",[],552.0,4,328,Brazil
Hyperparameter Tuning for Machine and Deep Learning with R: A Practical Guide (English Edition)  ,[],0.0,5,395,Brazil
Hands-On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data  ,[],248.0,4,255,Brazil
"Machine Learning for Beginners: Absolute Beginners Guide, Learn Machine Learning and Artificial Intelligence from Scratch (Python, Machine Learning Book 2) (English Edition)  ",[],0.0,2,327,Brazil
Machine Learning: Fundamental Algorithms for Supervised and Unsupervised Learning With Real-World Applications (Advanced Data Analytics Book 1) (English Edition)  ,[],0.0,2,459,Brazil
"Practical Machine Learning: Tackle the real-world complexities of modern machine learning with innovative, cutting-edge techniques  ",[],383.0,3,7,Brazil
Machine Learning with Python: 3 in 1: Beginners Guide + Step by Step Methods + Advanced Methods and Strategies to Learn Machine Learning with Python (English Edition)  ,[],0.0,2,119,Brazil
Graph Machine Learning: Take graph data to the next level by applying machine learning techniques and algorithms  ,[],398.0,2,85,Brazil
Intermediate Simple Machines: Levers (Home Use)  ,[],82.05240199055766,1,182,Brazil
Genetic Algorithms and Machine Learning for Programmers: Create AI Models and Evolve Solutions  ,[],134.0,4,64,Brazil
Reinforcement Learning: 100 Interview Questions (Advanced Topics in Machine Learning Book 6) (English Edition)  ,[],24.0,4,157,Brazil
Data Mining: Practical Machine Learning Tools and Techniques  ,[],88.0021634902583,5,41,Brazil
"Hands-On Unsupervised Learning with Python: Implement machine learning and deep learning models using Scikit-Learn, TensorFlow, and more (English Edition)  ",[],231.0,5,301,Brazil
Machine Learning Crash Course for Engineers (English Edition)  ,[],257.0,5,395,Brazil
"Python Machine Learning: Learn Python in a Week and Master It. An Hands-On Introduction to Artificial Intelligence Coding, a Project-Based Guide with Practical Exercises: 2  ",[],148.0,3,157,Brazil
Machine Learning with LightGBM and Python: A practitioner's guide to developing production-ready machine learning systems  ,[],433.0,3,304,Brazil
Artificial Intelligence Programming with Python: From Zero to Hero  ,[],336.0,2,439,Brazil
"Online Machine Learning: A Practical Guide with Examples in Python (Machine Learning: Foundations, Methodologies, and Applications) (English Edition)  ",[],256.0,1,105,Brazil
"Learning OpenCV 4 Computer Vision with Python 3: Get to grips with tools, techniques, and algorithms for computer vision and machine learning, 3rd Edition  ",[],313.0,2,405,Brazil
Transfer Learning for Natural Processing  ,[],337.0,4,156,Brazil
An Introduction to Machine Learning  ,[],360.0,4,28,Brazil
"My Journey Into Machine Learning Notebook (Model 3): Work Hard and Make it Happen: Customized 120 Page Lined 6"" x 9"", Notebook/Journal Gift, Matte finish  ",[],81.81761440433348,1,401,Brazil
Spectral Feature Selection for Data Mining (Chapman & Hall/CRC Data Mining and Knowledge Discovery Series) (English Edition)  ,[],0.0,1,266,Brazil
The Hundred-Page Machine Learning Book en français (French Edition)  ,[],246.0,1,303,Brazil
"Machine Learning, Animated (English Edition)  ",[],503.0,4,201,Brazil
Machine Learning and Big Data with Kdb+/Q  ,[],42.21081355158215,2,33,Brazil
Machine Learning - Regression and Classification (math Inc.): A complete Beginner to Advance level guide to Machine Learning. Hands-on Learning approach with in-depth math concepts (English Edition)  ,[],0.0,1,202,Brazil
Machine Learning: A Practical Approach on the Statistical Learning Theory  ,[],534.0,2,263,Brazil
"Machine Learning: The Ultimate Guide to Machine Learning, Neural Networks and Deep Learning for Beginners Who Want to Understand Applications, Artificial ... Mining, Big Data and More (English Edition)  ",[],23.0,5,248,Brazil
AI-POWERED PRODUCTIVITY: Machine Learning Magic: How To Train ChatGPT-4 To Be The Best Employee You've Never Paid For (LLM Books AI Book 2) (English Edition)  ,[],0.0,5,207,Brazil
Machine Learning with Python: A Step by Step Guide to Learn Machine Learning with Python for Beginners (English Edition)  ,[],0.0,4,31,Brazil
Modern Approaches in Machine Learning & Cognitive Science: A Walkthrough: Volume 4 (Studies in Computational Intelligence Book 1117) (English Edition)  ,[],636.0,3,332,Brazil
Learning Tensorflow.Js: Powerful Machine Learning in JavaScript  ,[],255.0,5,91,Brazil
Machine Learning and Security: Protecting Systems with Data and Algorithms  ,[],202.0,2,73,Brazil
Mathematical Aspects of Deep Learning  ,[],650.0,2,388,Brazil
Deep Learning with R  ,[],349.0,1,490,Brazil
Machine Learning in R for Everyone (English Edition)  ,[],0.0,5,131,Brazil
"Machine Learning: An Algorithmic Perspective: An Algorithmic Perspective, Second Edition  ",[],604.0,5,157,Brazil
Machine Learning Bookcamp: Build a Portfolio of Real-Life Projects  ,[],443.0,1,0,Brazil
"How To Become a Learning Machine: Quick Start Guide (""How To"" Books) (English Edition)  ",[],0.0,4,181,Brazil
Python Machine Learning: Unlock deeper insights into Machine Leaning with this vital guide to cutting-edge predictive analytics  ,[],365.0,5,206,Brazil
"Enhancing Deep Learning with Bayesian Inference: Create more powerful, robust deep learning systems with Bayesian deep learning in Python  ",[],526.0,1,252,Brazil
"Machine Learning: Your Ultimate Guide on Machine Learning, Agile Project Management, and Hacking: A Three-Book Bundle  ",[],38.0,1,451,Brazil
HTML & CSS: Learn The Fundamentals In 7 days (English Edition)  ,[],12.0,4,343,Brazil
Metalearning: Applications to Automated Machine Learning and Data Mining (Cognitive Technologies) (English Edition)  ,[],0.0,1,370,Brazil
Machine Learning: Book One of the Singularity Series (English Edition)  ,[],0.0,3,22,Brazil
"Practical Machine Learning with Spark: Uncover Apache Spark’s Scalable Performance with High-Quality Algorithms Across NLP, Computer Vision and ML(English Edition)  ",[],39.0,3,496,Brazil
An Introduction to Pattern Recognition and Machine Learning  ,[],512.0,3,115,Brazil
Probabilistic Graphical Models: Principles and Techniques  ,[],683.0,1,299,Brazil
Fundamentals of Deep Learning: Designing Next-Generation Machine Intelligence Algorithms  ,[],298.0,1,423,Brazil
Machine Learning Simplified: A Beginners' Guide To Revolution (English Edition)  ,[],0.0,5,410,Brazil
MACHINE LEARNING (Int'l Ed) (College Ie Overruns)  ,[],729.0,5,415,Brazil
Machine Learning With Python: An In-Depth Guide Beyond the Basics (English Edition)  ,[],0.0,2,36,Brazil
Machine Learning Interview Questions and Answers (Become a ML Engineer Book 1) (English Edition)  ,[],16.0,1,74,Brazil
Machine Learning: For Students and Professionals (English Edition)  ,[],0.0,5,289,Brazil
"Machine Learning: 2 Book in 1: The Ultimate Guide to Artificial Intelligence, Data Science and Deep Learning with Python  ",[],51.0,1,92,Brazil
"Machine Learning Mastery: From A to Z with Code : ""A to Z Machine Learning with Code: From Fundamentals to Advanced Concepts – A Hands-On Guide for Building Intelligent Systems"" (English Edition)  ",[],5.0,2,307,Brazil
"Power BI Machine Learning and OpenAI: Explore data through business intelligence, predictive analytics, and text generation  ",[],437.0,5,321,Brazil
"Concepts in Action: Representation, Learning, and Application (Language, Cognition, and Mind Book 9) (English Edition)  ",[],0.0,1,5,Brazil
Machine Learning for Auditors: Automating Fraud Investigations Through Artificial Intelligence  ,[],292.0,5,475,Brazil
Intermediate Simple Machines: Inclined Planes  ,[],24.46144671307983,5,7,Brazil
"Advanced Computing, Machine Learning, Robotics and Internet Technologies: First International Conference, AMRIT 2023, Silchar, India, March 10–11, 2023, ... Science Book 1954) (English Edition)  ",[],299.0,2,494,Brazil
"Advanced Computing, Machine Learning, Robotics and Internet Technologies: First International Conference, AMRIT 2023, Silchar, India, March 10–11, 2023, ... Science Book 1953) (English Edition)  ",[],299.0,4,58,Brazil
Deep Learning for Natural Language Processing  ,[],368.0,2,223,Brazil
That Book on AI and Machine Learning: A One-Hour Intro (English Edition)  ,[],0.0,5,29,Brazil
Data Scientist Lined Notebook: Data Science Journal 120 Pages 6x9 Inch For Big Data Scientist Machine Learning  ,[],36.542631847643435,4,260,Brazil
"A Handbook of Mathematical Models with Python: Elevate your machine learning projects with NetworkX, PuLP, and linalg  ",[],463.0,3,367,Brazil
Predict Air Pollution Level using Machine Learning: Get Practical Hands-on Experience (Become a ML Engineer Book 4) (English Edition)  ,[],1.0,2,90,Brazil
"JUMPSTART YOUR MACHINE LEARNING JOURNEY: LEARN EFFORTLESSLY, EVEN WITH NO PRIOR EXPERIENCE: ACCELERATE YOUR CAREER IN DATA SCIENCE AND ARTIFICIAL INTELLIGENCE WITH MACHINE LEARNING (English Edition)  ",[],0.0,2,207,Brazil
Machine Learning with PySpark: With Natural Language Processing and Recommender Systems  ,[],92.0,1,319,Brazil
Probabilistic Machine Learning for Finance and Investing: A Primer to Generative AI with Python  ,[],474.0,2,330,Brazil
Machine Learning with Python: Comprehensive Guide of Tips and Tricks of using Machine Learning Theories with Python (English Edition)  ,[],0.0,3,388,Brazil
"Neural Networks: Step-by-Step | Understand How Neural Networks Work, Starting With Simple Ideas (Machine Learning Book 1) (English Edition)  ",[],11.0,4,216,Brazil
Lecture Notes for Machine Learning and Data Science Courses (English Edition)  ,[],0.0,4,277,Brazil
Artificial Intelligence in Finance: A Python-Based Guide  ,[],378.0,2,376,Brazil
"Machine Learning for Beginners: A Comprehensive Guide to Mastering Algorithms, Data Science, and Artificial Intelligence (English Edition)  ",[],0.0,2,462,Brazil
10 Machine Learning Blueprints You Should Know for Cybersecurity: Protect your systems and boost your defenses with cutting-edge AI techniques  ,[],436.0,2,16,Brazil
"Quantitative Trading Strategies Using Python: Technical Analysis, Statistical Testing, and Machine Learning  ",[],44.149044591129524,5,43,Brazil
MATLAB Machine Learning Recipes: A Problem-Solution Approach (English Edition)  ,[],227.0,2,428,Brazil
How Smart Machines Think  ,[],76.0,2,271,Brazil
Data Science on the Google Cloud Platform: Implementing End-to-End Real-Time Data Pipelines: From Ingest to Machine Learning  ,[],367.0,3,88,Brazil
"My Journey Into Machine Learning Notebook (Model 2): Work Hard and Make it Happen: Customized 120 Page Lined 6"" x 9"", Notebook/Journal Gift, Matte Finish  ",[],34.566500701299994,3,243,Brazil
Causal Analysis: Impact Evaluation and Causal Machine Learning with Applications in R  ,[],383.0,2,147,Brazil
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition  ",[],464.0,4,208,Brazil
Machine Learning: A Bayesian and Optimization Perspective  ,[],592.0,3,438,Brazil
"Machine Learning: A Comprehensive, Step-by-Step Guide to Intermediate Concepts and Techniques in Machine Learning (English Edition)  ",[],11.0,5,166,Brazil
"Data Science on AWS: Implementing End-To-End, Continuous AI and Machine Learning Pipelines  ",[],362.0,3,443,Brazil
The Alignment Problem - Machine Learning and Human Values  ,[],94.0528637925853,1,353,Brazil
"PYTHON MACHINE LEARNING: The Ultimate Basic Guide For Beginners To Learn How To Design Types Of Automatic Production With Classification Algorithms, Create ... WITH PYTHON Book 1) (English Edition)  ",[],0.0,5,128,Brazil
Machine Learning for Absolute Beginners: A Plain English Introduction (First Edition) (English Edition)  ,[],18.0,4,146,Brazil
Supervised Machine Learning for Kids (Tinker Toddlers): STEAM Book to Kick-Start Your Future Genius! (English Edition)  ,[],0.0,3,279,Brazil
Machine Learning for Engineers (English Edition)  ,[],24.0,2,122,Brazil
"EBooks para crianças, máquina de leitura de voz firme para crianças, máquina de leitura de livros, desenvolvimento multisensorial, casa de bebê para crianças  ",[],102.0,1,185,Brazil
Fairness and Machine Learning: Limitations and Opportunities (Adaptive Computation and Machine Learning series) (English Edition)  ,[],329.0,3,160,Brazil
Machine Learning: The Definitive Guide. (3 Books in 1: Machine Learning for Beginners; Artificial Intelligence Business Applications; Artificial Intelligence and Machine Learning for Business)  ,[],207.0,4,223,Brazil
"Learning with Kernels: Support Vector Machines, Regularization, Optimization, and Beyond  ",[],747.0,3,309,Brazil
Machine Learning in Production: Master the art of delivering robust Machine Learning solutions with MLOps  ,[],376.0,2,224,Brazil
"Beyond the Code: GPT Models, The Singularity, and Posthumanism (Through the AI Lens: The Futurism Files) (English Edition)  ",[],24.0,5,261,Brazil
Machine Learning: 4 Books in 1: Basic Concepts + Artificial Intelligence + Python Programming + Python Machine Learning. A Comprehensive Guide to Build Intelligent Systems Using Python Libraries  ,[],143.0,5,439,Brazil
"Dilwe Chinese Learning Machine, Chinese Learning Machine Educational Chinese Speaking Tablet to Learn Pinyin for 3 Years Old and Up Kids  ",[],111.0,2,127,Brazil
"Nickelodeon Blaze and the Monster Machines ""Let's Blaze"" Jumbo Coloring and Activity Book  ",[],209.0,4,295,Brazil
Machine Learning with Python: Advanced and Effective Strategies Using Machine Learning with Python Theories (English Edition)  ,[],0.0,3,182,Brazil
